Име,Опис,Линк до слика на продукт,Достапни величини,Достапни бои,Линк до продукт,Цена,Намалена цена,Валута,Категорија
PEDROC 4 PANTS M,"Функционална Панталони
Изработени од многу лесен и растеглив софтшел материал, кој е водообивен и издржлив на абразија и не развива миризба при потење",https://www.scout.mk/wp-content/uploads/2023/05/28591-870-600x600.png,"2x, m","black, black",https://www.scout.mk/product/pedroc-4-dst-m-reg-pants-28591/,7790,7790,МКД,maski
Pocketshell Jkt M P76,Лесна заштита за сите временски услови лесно се пакува штити од ветар и лесен дожд,https://www.scout.mk/wp-content/uploads/2024/03/P76208639-600x600.jpg,"m, m","blue, lime",https://www.scout.mk/product/pocketshell-jkt-m-p76/,11390,11390,МКД,maski
PUEZ AQUA 4 PTX M 2.5L,"Машка лесна, водоотпорна и дишлива 2.5 слојна јакна за планинарење со Powertex мембрана Водоотпорност: 10.000 mm
Дишливост: 10.000 > g/m²/24h",https://www.scout.mk/wp-content/uploads/2023/05/28615-8100-600x600.png,"2x, l, m, m","blue, blue, blue, gray",https://www.scout.mk/product/puez-aqua-4-ptx-2-5l-m-jacket-28615/,9090,9090,МКД,maski
REAL STUFF BEANIE,Лесна флис капа,https://www.scout.mk/wp-content/uploads/2022/10/1909852_1010_A260-600x600.png,,"grey, red",https://www.scout.mk/product/real-stuff-beanie-1909852/,774,1290,МКД,maski
REAL STUFF HEADBAND,Лесна флис трака,https://www.scout.mk/wp-content/uploads/2022/10/1910302_1010_A260-600x600.png,,"grey, navy",https://www.scout.mk/product/real-stuff-headband-1910302/,890,890,МКД,maski
RIDGELINE BEANIE,"Капа изработена од синтетика 95% акрил, 4% полиамид, 1% еластин",https://www.scout.mk/wp-content/uploads/2023/01/67150_597-600x600.jpg,,blue,https://www.scout.mk/product/ridgeline-beanie-67150/,2190,2190,МКД,maski
Romberg 3In1 Jkt M 1115251,"Јакна 3во1
Составена од многу робусен и водоотпорен Хардшел со целосно залепени шавови
Водоотпорност: 10.000mm
Дишливост: 6.000 g/m²/24h
Внатрешна топола и дишлива подјакна (монтка)",https://www.scout.mk/wp-content/uploads/2022/10/1115251_6000_A020-600x600.png,"xl, xxl","black, black",https://www.scout.mk/product/romberg-3in1-jkt-m-1115251/,22590,22590,МКД,maski
Seneca Hoodie M MIV9469,"Флис со капуљача
Изработен од стреч материјал со лесна до средна топлотна изолација",https://www.scout.mk/wp-content/uploads/2022/11/MIV9469-9765-600x600.jpg,"l, m, xl","blue, orange, orange",https://www.scout.mk/product/seneca-hoodie-m-miv9469/,8390,8390,МКД,maski
Seneca Jk M MIV9470,"Флис
Изработен од стреч материјал со лесна до средна топлотна изолацијаДишлив и отпорен на триење",https://www.scout.mk/wp-content/uploads/2022/10/miv9470-8083-600x600.jpg,"l, l, m, xl","navy, navy, navy, yellow",https://www.scout.mk/product/seneca-jk-m-miv9470/,7790,7790,МКД,maski
Sky Socks 49O,"Технички чорапи 50% полипропилен, 40% полиамид, 10% еластин",https://www.scout.mk/wp-content/uploads/2020/12/49O602303S-1-600x600.jpg,"s, s","black, blue",https://www.scout.mk/product/sky-socks-49o/,1190,1190,МКД,maski
Stormlock Logo Knit Cap 1910371,Топла плетена капа отпорна на ветер со топла внатрешност,https://www.scout.mk/wp-content/uploads/2022/10/1910371_6000_A260-600x600.png,l,black,https://www.scout.mk/product/stormlock-logo-knit-cap-1910371/,1490,1490,МКД,maski
Sudden Short M P77,Ултра лесен шорц за трчање и други спортски активности,https://www.scout.mk/wp-content/uploads/2024/03/P77639729-600x600.jpg,"l, l","blue, gray",https://www.scout.mk/product/sudden-short-m-p77/,3090,3090,МКД,maski
Taiss Light ML Hooded Jacket Men 1014-04530,"Флис со капуљача
Изработен од стреч материјал со лесна до средна топлотна изолацијаДишлив и отпорен на триење погоден за различни активност",https://www.scout.mk/wp-content/uploads/2022/12/1014-04530-50507_main-600x600.png,xxl,black,https://www.scout.mk/product/taiss-light-ml-hooded-jacket-men-1014-04530/,10290,10290,МКД,maski
TAIT M RMT218,Маица изработена од памук,https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-RMT218_61I_P_1.jpg,"l, l, m, m, xl, xl","blue, blue, blue, grey, grey, grey",https://www.scout.mk/product/tait-m-rmt218/,1390,1390,МКД,maski
TAUNUS HZ M,"Машки спортски флис, халф зип",https://www.scout.mk/wp-content/uploads/2025/02/1709522-G0054.jpg,"l, m, xl","orange, orange, orange",https://www.scout.mk/product/taunus-hz-m/,3690,3690,МКД,maski
Taunus Hz M 1709522,"Флис
Високо дишлив и топол полар",https://www.scout.mk/wp-content/uploads/2023/05/1709522_1010_A020-600x600.png,l,red,https://www.scout.mk/product/taunus-hz-m-1709522/,3690,3690,МКД,maski
TEXTOR UTILITY JKT M 1116101,Водоотпорна зимска јакна,https://www.scout.mk/wp-content/uploads/woocommerce-placeholder.png,"l, l, m, m, xl","black, black, black, brown, brown",https://www.scout.mk/product/textor-utility-jkt-m-1116101/,17290,17290,МКД,maski
THAMOS,Машка карирана кошула од органски памук,https://www.scout.mk/wp-content/uploads/2025/02/Web-version-RMS143_038_P_1.jpg,"l, l, m, xl, xxl","brown, brown, brown, navy, navy",https://www.scout.mk/product/thamos/,4990,4990,МКД,maski
THOMPSON FLEECE,Поларна машка блуза халфзип,https://www.scout.mk/wp-content/uploads/2025/02/RMA021_0FP_P_1-8.jpg,"l, l, l, l, l, m, m, s, xl, xl, xl, xl, xl, xl, xl, xxl, xxl, xxl, xxl, xxxl","black, black, brown, brown, brown, grey, grey, grey, grey, navy, navy, navy, navy, navy, navy, navy, orange, orange, orange, orange",https://www.scout.mk/product/thompson-fleece/,1074,1790,МКД,maski
TOBIAS B/W II,Машки елек Тобиас,https://www.scout.mk/wp-content/uploads/2025/02/RMB052_104_P_3-4-600x600.jpg,"l, l, l, m, m, m, s, xl, xl, xl, xxl, xxl, xxxl","black, black, black, black, black, grey, grey, grey, grey, navy, navy, navy, navy",https://www.scout.mk/product/tobias-b-w-ii/,1790,1790,МКД,maski
TORRENS M,"Флис со полупатент
Изработен од стреч материјал со средна топлотна изолација",https://www.scout.mk/wp-content/uploads/2023/12/RMA351_800_P_1-600x600.jpg,"s, xl, xxl","blue, navy, navy",https://www.scout.mk/product/torrens-m-rma351/,3690,3690,МКД,maski
Tracer Tank M P70,Удобна функционална маица без ракави со технологија која природно го регулира мирисот и ја отстранува влагата.,https://www.scout.mk/wp-content/uploads/2024/03/P70208320-600x600.jpg,"l, m, m","blue, lime, orange",https://www.scout.mk/product/tracer-tank-m-p70/,2790,2790,МКД,maski
Trail Running Socks 69B,"Технички чорапи 70% полиестер, 20% најлон, 10% еластин",https://www.scout.mk/wp-content/uploads/2020/12/69B999100-1-600x600.jpg,"m, s","black, black",https://www.scout.mk/product/trail-running-socks-69b/,990,990,МКД,maski
Travellers MT Hat F84766,"Лесна, капа на преклопување. Погодна за пешачење и патување во сончеви денови",https://www.scout.mk/wp-content/uploads/2023/12/Travellers_MT_Hat_84766-030_A_MAIN_FJR-2-600x600.png,m,blue,https://www.scout.mk/product/travellers-mt-hat-f84766/,3390,3390,МКД,maski
TREK BALANCE SOCKS,"Чорапи
Изработени од материјал во кој е искомбинирана мерино волна",https://www.scout.mk/wp-content/uploads/2020/11/68079-1201-600x600.jpg,35-37,grey,https://www.scout.mk/product/trek-balance-vp-sk-68079/,1390,1390,МКД,maski
TREK N SOCKS,"Чорапи
Изработени од синтетика",https://www.scout.mk/wp-content/uploads/2020/11/68094-6892-600x600.jpg,35-37,grey,https://www.scout.mk/product/trek-n-sk-68094/,1290,1290,МКД,maski
Trekking Sock Wool Long 3I49277,Компресивни трекинг чорапи,https://www.scout.mk/wp-content/uploads/2024/02/3I49277_41YF_A-4-600x600.png,36-38,black,https://www.scout.mk/product/trekking-sock-wool-long-3i49277/,1290,1290,МКД,maski
Trekking Sock Wool Mid 3I49177,Компресивни трекинг чорапи,https://www.scout.mk/wp-content/uploads/2024/02/3I49177_40YF_A-2-600x600.jpg,"39-42, 43-45","black, black",https://www.scout.mk/product/trekking-sock-wool-mid-3i49177-2/,1190,1190,МКД,maski
Triumph Tight Short M P30,"Мултифинкционални хеланки, изработени од полиестер",https://www.scout.mk/wp-content/uploads/2021/03/P30999907-600x600.jpg,xl,black,https://www.scout.mk/product/triumph-tight-short-m-p30/,4990,4990,МКД,maski
Triumph Tight Short M P30,"Мултифинкционални хеланки, изработени од полиестер",https://www.scout.mk/wp-content/uploads/2024/03/P30999100-9.jpg,"l, m, xl","black, black, black",https://www.scout.mk/product/triumph-tight-short-m-p30-2/,4990,4990,МКД,maski
TROMSOE JACKET,"Јакна
Екстра топлотна изолација
Водоотпорна и дишлива
Сите шавови се залепени",https://www.scout.mk/wp-content/uploads/2022/11/53074_597-600x600.jpg,xl,navy,https://www.scout.mk/product/tromsoe-jacket-53074/,21590,21590,МКД,maski
Ultimate Comfort SO Hooded Jacket Men 1011-01910,"Софтшел јакнаВодоодбивна, ветроодбивна од растеглив материјал дишливост 10,000 g/m²/24h погодназа секаков вид на Outdoor активности",https://www.scout.mk/wp-content/uploads/2022/12/1011-01910-0001_main-600x600.png,"xl, xl, xxl","black, black, blue",https://www.scout.mk/product/ultimate-comfort-so-hooded-jacket-men-1011-01910/,14990,14990,МКД,maski
Ultra Running Socks 69C,"Технички чорапи 80% најлон, 20% еластин",https://www.scout.mk/wp-content/uploads/2020/12/69C714713-1-600x600.jpg,"s, s","blue, green",https://www.scout.mk/product/ultra-running-socks-69c/,1190,1190,МКД,maski
Unisex Hat Reverse 6505132,Капа со две лица,https://www.scout.mk/wp-content/uploads/2024/04/6505132_23NN_A.png,"u, u","blue, green",https://www.scout.mk/product/unisex-hat-reverse-6505132/,1390,1390,МКД,maski
Vent Cap 1911511,Капа со вентилациски отвори за поголем комфор,https://www.scout.mk/wp-content/uploads/2023/07/1911511_1010_A260-600x600.png,"l, m, m","green, stilston, stilston",https://www.scout.mk/product/vent-cap-1911511/,1890,1890,МКД,maski
Vertigo Headband 1906032,Многу лесна трака направена од рециклирана ткаенина,https://www.scout.mk/wp-content/uploads/2022/10/1906032_1010_A260-600x600.png,,"black, navy",https://www.scout.mk/product/vertigo-headband-1906032/,1190,1190,МКД,maski
VONNAN GRAPHIC T M,Машка памучна маица,https://www.scout.mk/wp-content/uploads/2025/02/A62314.jpg,"2xl, l, l, m, m, s, xl","orange, orange, orange, sky, sky, sky, sky",https://www.scout.mk/product/vonnan-graphic-t-m/,2790,2790,МКД,maski
WINTERLAGER PARKA M,"Парка
Водоотпорна и ветероотпорна
Водоотпорност: 10.000 mm
Дишливост: 6.000 > g/m²/24h
Робусна и добро поставена и полнета со синтетичко полнење",https://www.scout.mk/wp-content/uploads/2022/10/1115471_4550_A020-600x600.png,"l, xl","green, green",https://www.scout.mk/product/winterlager-parka-m-1115471/,13490,13490,МКД,maski
WISPER INS JKT M,Машка спортска јакна хард шел,https://www.scout.mk/wp-content/uploads/2025/02/A61870-C0412.jpg,"s, xl","navy, navy",https://www.scout.mk/product/wisper-ins-jkt-m/,14790,14790,МКД,maski
YONDER II,Флис,https://www.scout.mk/wp-content/uploads/2024/12/RMA606-61I.jpg,"l, l, l, m, m, xl, xl, xxl, xxl","grey, grey, grey, grey, olive, olive, orange, orange, orange",https://www.scout.mk/product/yonderii-m-rma606/,3090,3090,МКД,maski
1960 Logo T-shirt F83513,Лесна маичка изработена од органски памук и рециклиран полиестер.,https://www.scout.mk/wp-content/uploads/2024/03/1960_Logo_T-shirt_W_83513-243_A_MAIN_FJR-6-600x600.png,"l, m, m, s","green, orange, orange, orange",https://www.scout.mk/product/1960-logo-t-shirt-f83513/,3090,3090,МКД,zenski
Abisko Lite Fleece Jacket F87142,Лесен флис што се пакува совршен за еднодневни патувања.,https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Lite_Fleece_Jacket_W_87142-534_A_MAIN_FJR-6-600x600.png,"l, l, m, m","green, green, navy, navy",https://www.scout.mk/product/abisko-lite-fleece-jacket-f87142/,9290,9290,МКД,zenski
Abisko Midsummer Jacket F89826,"Лесна, дишлива и јакна што може да се пакува, совршена за пешачење во топла клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Midsummer_Jacket_W_89826-534-555_A_MAIN_FJR-2-600x600.png,"l, m, s, s","green, green, navy, navy",https://www.scout.mk/product/abisko-midsummer-jacket-f89826/,14290,14290,МКД,zenski
Abisko Midsummer Trs F89827,"Лесни, дишливи женски трекинг панталони. Совршени за топла клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Midsummer_Trs_W_Reg_89827-534-555_A_MAIN_FJR-3-600x600.png,"36, 38","navy, navy",https://www.scout.mk/product/abisko-midsummer-trs-f89827/,11790,11790,МКД,zenski
ACTIVATE THERMIC PANTS W,Женски термо панталони,https://www.scout.mk/wp-content/uploads/2025/02/A61879-6000.jpg,"36-r, 40-r, 42-r","black, black, black",https://www.scout.mk/product/activate-thermic-pants-w/,8590,8590,МКД,zenski
ADEN DOWN PARKA,"Полнета Јакна
Екстра топлотна изолација
Водоотпорна и дишлива
Сите шавови се залепени",https://www.scout.mk/wp-content/uploads/2022/11/54429_483-600x600.jpg,"s, s, xl","green, navy, navy",https://www.scout.mk/product/aden-down-parka-w-54429/,17890,17890,МКД,zenski
AUSTER SKIRT W,"Здолниште со мека и удобна конструкција на половината, минималниот дизајн дава максимална слобода на движење, а внатрешниот мрежест гајтан е подобрен за да гарантира удобност за време на активноста",https://www.scout.mk/wp-content/uploads/2025/04/Q59999411.jpeg,"l, m, s","black, black, black",https://www.scout.mk/product/auster-skirt-w/,3690,3690,МКД,zenski
BERGBLICK T W A60069,Маичка од органски памук,https://www.scout.mk/wp-content/uploads/2024/11/A60069_A0028_9-A100-bergblick-t-w-panna-cotta-30-600x865.jpg,"l, m, s","stilston, stilston, stilston",https://www.scout.mk/product/bergblick-t-w-a60069/,2790,2790,МКД,zenski
BRENTA JACKET W,"Полнета Јакна / Монтка со капуљача
Ветероодбивна и водоодбивна
Полнење: Пердув",https://www.scout.mk/wp-content/uploads/2022/10/27884-1570-600x600.jpg,"38, 40, 40, 40","black, blue, blue, red",https://www.scout.mk/product/brenta-rds-dwn-w-jkt-27884/,15390,15390,МКД,zenski
CLASSIC CHECK LS SHIRT,"Кошула
изработена од органски памук",https://www.scout.mk/wp-content/uploads/2022/11/62930_495-600x600.jpg,l,green,https://www.scout.mk/product/classic-check-ls-shirt-w-62930/,6190,6190,МКД,zenski
Compass T-Shirt Q31,Мултифункционална стреч маица со дополнителна заштита од триење на ранецот дишлива и лесна,https://www.scout.mk/wp-content/uploads/2024/03/Q31323322-600x600.jpg,"l, m","red, turquoise",https://www.scout.mk/product/compass-t-shirt-q31/,3690,3690,МКД,zenski
CONNIE V,Женски поларен блејзер,https://www.scout.mk/wp-content/uploads/2025/02/RWL209_3G2_P_A-1-600x600.jpg,"10, 10, 12, 12, 14, 14, 16","navy, navy, navy, navy, violet, violet, violet",https://www.scout.mk/product/connie-v/,3690,3690,МКД,zenski
CORINNE IV W,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 5.000 mm
Дишливост: 5.000 > g/m²/24h
Поставена со мрежа",https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-RWW304_F1N_P_1.jpg,"10, 10, 10, 10, 10, 12, 12, 12, 12, 14, 14, 14, 14, 16, 16, 16, 18","blue, blue, blue, blue, orange, pink, pink, pink, pink, sky, sky, sky, sky, sky, violet, violet, violet",https://www.scout.mk/product/corinne-iv-w-rww304-2/,4890,4890,МКД,zenski
Crosstrail Graphic T W 1807213,"Мултифункционална техничка маица, изработена од вештачки брзосушечки материјал за поудобни спортски ативности",https://www.scout.mk/wp-content/uploads/2023/07/1807213_2184_A020-600x600.png,"s, xs","orange, orange",https://www.scout.mk/product/crosstrail-graphic-t-w-1807213/,2490,2490,МКД,zenski
DAYHIKE TRS IV W,"Панталони
Водоодбивни и ветероотпорни
Изработени од многу дишлив (10.000g/m2/24hrs) и стреч материјал",https://www.scout.mk/wp-content/uploads/2023/12/RWJ271_800_P_A-600x600.jpg,"12, 14, 16","black, black, black",https://www.scout.mk/product/dayhike-trs-iv-w-rwj271/,5290,5290,МКД,zenski
Defy T-Shirt W Q11,"Мултифункционална стреч маица, брзосушечка и изработена од полиестер",https://www.scout.mk/wp-content/uploads/2022/04/Q11624624-600x600.jpg,"l, m","blue, blue",https://www.scout.mk/product/defy-t-shirt-w-q11/,3990,3990,МКД,zenski
ENDRA,Флис,https://www.scout.mk/wp-content/uploads/2024/12/RWA637-800.jpg,"12, 12, 14","black, black, white",https://www.scout.mk/product/endra-w-rwa637/,3990,3990,МКД,zenski
Essential T W 1808352,Маица изработена од памук,https://www.scout.mk/wp-content/uploads/2023/07/1808352_2183_A020-600x600.png,xs,pink,https://www.scout.mk/product/essential-t-w-1808352/,2490,2490,МКД,zenski
Expedition X-Lätt Vest F86366,Лесен елек што може да се пакува со синтетичко полнење за пешачење и живот на отворено.,https://www.scout.mk/wp-content/uploads/2024/03/Expedition_X-Latt_Vest_W_86366-614_A_MAIN_FJR-6-600x600.png,l,green,https://www.scout.mk/product/expedition-x-latt-vest-f86366/,11290,11290,МКД,zenski
FILANDRA IX,Кратка Маица,https://www.scout.mk/wp-content/uploads/2024/12/RWT327-540.jpg,"10, 10, 12, 12, 14, 16","green, green, green, green, stilston, stilston",https://www.scout.mk/product/filandraix-w-rwt327/,1590,1590,МКД,zenski
FILANDRA VIII W,Маица изработена од памук,https://www.scout.mk/wp-content/uploads/2024/08/RWT297-7LE-48-600x600.jpg,"10, 10, 10, 10, 12, 12, 12, 14, 14, 14, 14, 16, 16, 16, 18, 8, 8, 8, 8","black, black, black, black, black, black, navy, navy, navy, navy, navy, violet, violet, violet, violet, violet, white, white, white",https://www.scout.mk/product/filandra-viii-w-rwt297/,1890,1890,МКД,zenski
Fitz Roy Jkt W MIV8629,"Хардшел Jакна со DRYEDGE™ MICRO RIPSTOP 2.5L
Водоотпорна и ветероотпорна со вентилациски отвори под пазувите
Водоотпорност: 10.000 mm
Дишливост: 10 000 g.m².24h",https://www.scout.mk/wp-content/uploads/2021/05/MIV8629-9162-600x600.jpg,"l, m","turquoise, turquoise",https://www.scout.mk/product/fitz-roy-jkt-w-miv8629/,10290,10290,МКД,zenski
Fitz Roy Jkt W MIV9707,"Хардшел Jакна со DRYEDGE™ MICRO RIPSTOP 2.5L
Водоотпорна и ветероотпорна со вентилациски отвори под пазувите
Водоотпорност: 10.000 mm
Дишливост: 10 000 g.m².24h",https://www.scout.mk/wp-content/uploads/2023/03/MIV9707_9447_C3E_0.webp-600x600.png,"l, l, m, s, s, s","berry, berry, blue, blue, blue, turquoise",https://www.scout.mk/product/fitz-roy-jkt-w-miv9707/,11590,11590,МКД,zenski
Fjällräven Logo Tee F87146,Удобна маица изработена од мешавина на органски памук/рециклиран полиестер и лого на предната страна.,https://www.scout.mk/wp-content/uploads/2024/03/Fjallraven_Logo_Tee_W_87146-133_A_MAIN_FJR-6-600x600.png,"m, s","yellow, yellow",https://www.scout.mk/product/fjallraven-logo-tee-f87146/,3090,3090,МКД,zenski
Florell Box T W 1809051,Маица изработена од памук,https://www.scout.mk/wp-content/uploads/2023/07/1809051_1282_A020-600x600.png,"s, xs","blue, blue",https://www.scout.mk/product/florell-box-t-w-1809051/,2490,2490,МКД,zenski
FLOREO IV,Женски спортски флис поларен,https://www.scout.mk/wp-content/uploads/2025/02/RWA528-61I.jpg,"10, 10, 10, 10, 10, 10, 12, 12, 12, 12, 14, 14, 14, 14, 14, 14, 16, 16, 18, 18, 20, 8, 8, 8","bordeaux, bordeaux, bordeaux, bordeaux, bordeaux, grey, grey, grey, grey, navy, navy, navy, navy, navy, pink, pink, sky, sky, sky, white, white, white, white, white",https://www.scout.mk/product/floreo-iv/,3090,3090,МКД,zenski
Fox Boxy Logo Tee F87153,Удобна маица изработена од мешавина на органски памук/рециклиран полиестер и лого на предната страна.,https://www.scout.mk/wp-content/uploads/2024/03/Fox_Boxy_Logo_Tee_W_87153-620_A_MAIN_FJR-6-600x600.png,"l, m","green, green",https://www.scout.mk/product/fox-boxy-logo-tee-f87153/,3090,3090,МКД,zenski
FRITHA II,"Градска јакна, термогард изолација",https://www.scout.mk/wp-content/uploads/2022/10/RWN219_MWM_P_1-600x600.jpg,10,red,https://www.scout.mk/product/fritha-ii-rwn219/,7490,7490,МКД,zenski
GEO SSHELL TRS II,"Софтшел Панталони
Дишливост 10.000 g/m²/24 часа
Водоотпорна и ветроотпорна мембрана, издржлив водоотпорен финиш.
Еластичен струк и повеќе џебови.",https://www.scout.mk/wp-content/uploads/2022/10/RWJ113R_800_P_3-600x600.jpg,"14, 16","black, black",https://www.scout.mk/product/geo-sshell-trs-ii-rwj113r/,5190,5190,МКД,zenski
GLAABACH 3IN1 JKT W,Женска хибридна јакна 3 во 1,https://www.scout.mk/wp-content/uploads/2025/02/A61887.jpg,"l, xl","grey, grey",https://www.scout.mk/product/glaabach-3in1-jkt-w/,15390,15390,МКД,zenski
Go Hike Jacket W 1113972,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 20.000 mm
Дишливост: 15.000 > g/m²/24h",https://www.scout.mk/wp-content/uploads/2023/05/1113972_1283_A020.tif-600x600.png,"l, s","turquoise, turquoise",https://www.scout.mk/product/go-hike-jacket-w-1113972/,12990,12990,МКД,zenski
Go Hike Softshell W 1306862,"Софтшел Јакна со капуљача
Водоодбивна и ветероодбивна
Изработена од средно дебел софтшел материјал",https://www.scout.mk/wp-content/uploads/2023/05/1306862_1281_A020.tif-600x600.png,"l, l, s, s","blue, blue, orange, orange",https://www.scout.mk/product/go-hike-softshell-w-1306862/,9590,9590,МКД,zenski
Go Hike W 1306861,"Софтшел Јакна со капуљача
Водоодбивна и ветероодбивна
Изработена од многу дишлив и лесен стреч материјал",https://www.scout.mk/wp-content/uploads/2022/05/1306861_2178_A020-2-600x600.jpg,"m, m","pink, red",https://www.scout.mk/product/go-hike-w-1306861/,7590,7590,МКД,zenski
Hazy Mtn Ts W MIV9077,"Функционална Маица
Изработена од многу лесен материјал кој не развива миризба при потење
100% полиестер",https://www.scout.mk/wp-content/uploads/2021/05/MIV9077-8737-600x600.jpg,"m, s","orange, orange",https://www.scout.mk/product/hazy-mtn-ts-w-miv9077/,2290,2290,МКД,zenski
High Coast Lite Dress F83502,Лесен летен фустан за топла клима.,https://www.scout.mk/wp-content/uploads/2024/03/High_Coast_Lite_Dress_W_83502-560_A_MAIN_FJR-6-600x600.png,s,green,https://www.scout.mk/product/high-coast-lite-dress-f83502/,7490,7490,МКД,zenski
High Coast Lite Shorts F89431,Лесни и растегливи кратки панталони кои брзо се сушат за секојдневна употреба и патување во топла клима.,https://www.scout.mk/wp-content/uploads/2024/03/High_Coast_Lite_Shorts_W_89431-018_A_MAIN_FJR-3-600x600.png,"36, 36, 38, 38, 40, 40","green, green, green, grey, grey, grey",https://www.scout.mk/product/high-coast-lite-shorts-f89431/,6190,6190,МКД,zenski
HIGHLOFT GLOVE WOMEN A63073,Топли софтшел ракавици кои не пропуштаат ветер и вода,https://www.scout.mk/wp-content/uploads/2024/11/A63073-6000-600x865.jpg,"l, m, m, s, s","black, black, navy, navy, navy",https://www.scout.mk/product/highloft-glove-women-a63073/,2990,2990,МКД,zenski
Highloft Knit Mitten 1908001,Ракавици плетени со ситетичко крзно,https://www.scout.mk/wp-content/uploads/2020/11/1908001-1910-600x600.png,"m, s","navy, navy",https://www.scout.mk/product/highloft-knititten-1908001/,2590,2590,МКД,zenski
Innominata Light ML Jacket Women 1014-04480,"Флис,Изработен од стреч материјал со лесна до средна топлотна изолацијаДишлив и отпорен на триење погоден за различни активност",https://www.scout.mk/wp-content/uploads/2023/12/1014-04480-6429-600x600.jpg,l,violet,https://www.scout.mk/product/innominata-light-ml-jacket-women-1014-04480/,6290,6290,МКД,zenski
Kiruna Jacket W 1704513,"Флис
Високо дишлив и топол полар",https://www.scout.mk/wp-content/uploads/2023/07/1704513_1010_A020-600x600.png,"l, xl","navy, navy",https://www.scout.mk/product/kiruna-jacket-w-1704513/,4990,4990,МКД,zenski
Lapiaz Pant W MIV9620,ПанталониТопли и растегливи идеални за поладни условиВодоодбивни и отпорни на триење,https://www.scout.mk/wp-content/uploads/2022/11/MIV9620-0247-600x600.jpg,"40, 42","navy, navy",https://www.scout.mk/product/lapiaz-pant-w-miv9620/,7790,7790,МКД,zenski
LARAINE,"Материјал:
R-TEX
PrimaLoft
Флис
Микрофибер
Карактеристики:
Touch Tec",https://www.scout.mk/wp-content/uploads/2022/12/6035222-6000-600x600.jpg,"7, 7-5","black, black",https://www.scout.mk/product/laraine/,3190,3190,МКД,zenski
LEGITIMATE,Лесни брзосужечки хеланки,https://www.scout.mk/wp-content/uploads/2023/05/DWJ475_R73_P_1-600x600.jpg,8,navy,https://www.scout.mk/product/legitimate-dwj475/,2790,2790,МКД,zenski
LOREDANA,"Материјал:
PrimaLoft® Gold
Карактеристики:
TOUCH-TEC
Силиконски грип",https://www.scout.mk/wp-content/uploads/2022/12/4935198-4509-600x600.jpg,"6-5, 7-5","black, black",https://www.scout.mk/product/loredana/,2990,2990,МКД,zenski
Magma Sh Hd W MIV9589,"Софтшел јакнаВодоотпорна: 5 000 mm, ветроодбивна и дишлива: 3 000 g/m²/24h од растеглив материјал",https://www.scout.mk/wp-content/uploads/2023/12/MIV9589-9845-600x600.png,"l, s","sky, sky",https://www.scout.mk/product/magma-sh-hd-w-miv9589/,11590,11590,МКД,zenski
Mammut Core T-Shirt Women Logo 1017-03902,"Лесна, тенка и удобна маица 50% органски памук 50% полиестер",https://www.scout.mk/wp-content/uploads/2023/12/1017-03902-6429-600x600.jpg,l,violet,https://www.scout.mk/product/mammut-core-t-shirt-women-logo-1017-03902/,2590,2590,МКД,zenski
Multisport Sock Wmn 3I63466,Мултифункционални чорапи,https://www.scout.mk/wp-content/uploads/2022/07/3I63466_19HL_A-600x600.jpg,36-38,pink,https://www.scout.mk/product/multisport-sock-wmn-3i63466/,790,790,МКД,zenski
NORD GRAPHIC HOODIE W,"Дуксер со капа
80% памук 20% полиестер",https://www.scout.mk/wp-content/uploads/2022/11/62981_406-600x600.jpg,l,green,https://www.scout.mk/product/nord-graphic-pullover-hoodie-w-62981/,4690,4690,МКД,zenski
Pacer T-Shirt Q55,"Мултифункционална стреч маица, дишлива и лесна изработена од полиестер",https://www.scout.mk/wp-content/uploads/2024/03/Q55323322-600x600.jpg,m,red,https://www.scout.mk/product/pacer-t-shirt-q55/,3690,3690,МКД,zenski
PACER TANK W,"Лесна маичка, мека на кожата со Polygiene® за повеќе да се носи и помалку да се мие.",https://www.scout.mk/wp-content/uploads/2025/04/Q54645643.jpeg,"l, m, s","blue, blue, blue",https://www.scout.mk/product/pacer-tank-w/,3090,3090,МКД,zenski
PACK IT JKT III W,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 5.000 mm
Дишливост: 5.000 > g/m²/24h
Непоставена",https://www.scout.mk/wp-content/uploads/2024/08/RWW305-25810-600x600.jpg,"10, 12, 16, 16, 18","turquoise, turquoise, violet, violet, violet",https://www.scout.mk/product/pack-it-jkt-iii-w-rww305/,2990,2990,МКД,zenski
Parana Pants W 1111861,"Полнети Хардшел Панталони
Екстра топлотна изолација
Водоотпорност: 20.000mm
Дишливост: 15.000 g/m²/24h",https://www.scout.mk/wp-content/uploads/2022/10/1111861_1388_A160-600x600.png,"34, 38","grey, grey",https://www.scout.mk/product/parana-pants-w-1111861/,10590,10590,МКД,zenski
